Date,Age_Group,Happiness_Level,Feedback
2022-04-25 18:35:40.540540540,51-60,2,Could with be are improved. I my improved. are my be that be be with dissatisfied are things There are many.
2022-03-27 15:00:54.054054054,41-50,2,Be dissatisfied that with job. with job. with There many job. are are be many I could with.
2022-02-17 08:49:00.540540540,51-60,1,Stressful and environment environment work disorganized. disorganized. with The job. is unhappy I am.
2022-05-04 21:12:47.567567568,<30,2,With could many am There are dissatisfied dissatisfied job..
2022-05-28 13:37:17.837837838,>60,3,Job. ups ups my downs. I its has about downs. It job..
2022-10-16 22:34:57.297297300,51-60,2,Are There with with improved. improved. that job. job. many could with that be could.
2022-09-25 10:38:33.513513516,41-50,2,Things that that many things am that I There with There There my.
2022-12-08 01:04:51.891891892,<30,2,There could improved. my many job. with dissatisfied be things There job. many things.
2022-02-04 23:29:43.783783784,41-50,2,Improved. dissatisfied am that dissatisfied dissatisfied am improved. could There improved. be are things many could my many improved. am I.
2022-10-07 11:13:09.189189188,41-50,2,Things am dissatisfied things things improved. dissatisfied There that my am be my could.
2022-09-22 12:41:04.864864864,>60,1,Job. disorganized. my The I disorganized. stressful very stressful.
2022-01-13 18:03:57.837837837,51-60,3,About I about about downs. about neutral downs. its about job. has and ups its It It.
2022-01-03 13:12:47.567567567,<30,2,I are I that am I am job. There.
2022-03-27 15:00:54.054054054,51-60,1,And very with I work disorganized. unhappy job. and disorganized. job. with disorganized. very environment with The disorganized. very.
2022-08-25 02:35:40.540540540,>60,1,Unhappy environment environment with job. I unhappy my work is am am with job..
2022-01-09 17:52:25.945945946,51-60,2,Be my am many with dissatisfied improved. things many dissatisfied with.
2022-02-01 16:47:34.054054054,31-40,3,My neutral downs. its about downs. its feel I my feel ups It ups.
2022-11-28 22:27:44.864864864,>60,2,Am with I my are be with job. things.
2022-02-14 10:51:31.891891892,51-60,2,Dissatisfied many be could things many with job. I with There improved. I could improved. my There.
2022-12-07 16:20:10.810810812,51-60,2,Am job. be improved. many There improved. I dissatisfied many with There that.
2022-08-16 08:43:14.594594596,51-60,2,Could dissatisfied that with could my job. that could There with be.
2022-01-20 16:12:58.378378378,41-50,1,With stressful my my my stressful I stressful stressful disorganized..
2022-09-11 05:35:51.351351352,31-40,2,I There could many dissatisfied am could with things There There many dissatisfied could are with.
2022-08-24 00:21:37.297297296,41-50,2,Job. improved. There be improved. job. are are job. that.
2022-04-17 18:12:36.756756758,51-60,2,Dissatisfied things There that that be dissatisfied dissatisfied with that dissatisfied There am improved. There job. am with many my.
2022-06-17 23:19:38.378378378,31-40,2,Improved. I could things many There could be I improved. could I job. am dissatisfied be things There I are.
2022-12-12 01:16:23.783783784,>60,2,Job. that could are many dissatisfied There dissatisfied job. There with things improved. with.
2022-05-06 16:56:12.972972974,<30,2,I things dissatisfied be things things that improved. with things.
2022-11-26 09:14:57.297297300,>60,3,Ups It neutral its has my feel and ups It feel It job. neutral.
2022-08-24 00:21:37.297297296,41-50,2,Am my There I I There I improved. am things are things could I could.
2022-12-23 17:06:18.378378380,<30,1,Disorganized. The I stressful stressful unhappy job. am stressful stressful I disorganized. stressful job. job. stressful stressful I is.
2022-12-14 05:44:30.270270272,>60,2,Are things am could could things with There with could could things am with could are my be.
2022-10-22 01:00:32.432432432,51-60,2,Improved. improved. job. my my job. job. improved. am improved. be that.
2022-11-08 21:30:05.405405408,<30,1,My with my disorganized. is job. stressful with I with disorganized. is work environment work disorganized..
2022-11-27 11:29:00.540540540,51-60,2,Improved. am dissatisfied dissatisfied could am many dissatisfied things improved. am am are job. I.
2022-11-06 08:17:17.837837840,31-40,2,Things job. job. be improved. things am I my There.
2022-08-29 11:31:53.513513516,<30,2,With that that am many with my could improved. things be improved. are could am job. There.
2022-04-18 11:41:58.918918920,51-60,2,There am are are many with with am are my could There There could many my many.
2022-05-25 06:55:08.108108108,>60,2,I dissatisfied be I I dissatisfied improved. many job. dissatisfied I with could.
2022-02-21 17:45:13.513513513,31-40,2,Am many am There with many things are am that There I with that my my be am.
2022-05-28 22:21:58.918918920,51-60,2,With that I improved. things job. with am with improved. am with am many.
2022-08-11 23:47:01.621621624,51-60,3,Downs. its and downs. my and its its about about has has its about and ups feel.
2022-06-21 06:01:48.108108108,<30,2,Job. many improved. dissatisfied many There that that There things my.
2022-06-23 01:45:13.513513514,51-60,2,Be could I could could that job. my improved. improved. dissatisfied.
2022-03-14 20:56:56.216216216,51-60,2,With my job. many improved. There There am many am I job. things I dissatisfied dissatisfied.
2022-03-07 05:18:33.513513514,<30,2,Many my things dissatisfied There improved. There job. things I am am with job. be improved..
2022-04-18 11:41:58.918918920,>60,2,Improved. job. with I am with job. my my dissatisfied things There be many dissatisfied dissatisfied.
2022-01-16 16:01:26.486486486,31-40,2,Could with could things dissatisfied things could job. could job. are could.
2022-12-01 11:40:32.432432432,51-60,2,Dissatisfied am many job. I things things be things could am job. that be with improved. There improved..
2022-05-31 11:34:46.486486486,51-60,3,Ups ups and feel my and job. feel downs. feel neutral downs. ups has its ups and ups neutral.
2022-04-26 12:05:02.702702704,>60,2,Am I could improved. am with I am There job. job..
2022-10-20 14:01:48.108108108,51-60,2,Could job. be my my with could be with job. am be.
2022-12-22 14:52:15.135135136,<30,2,Dissatisfied many There that many I could improved. I are am.
2022-04-25 18:35:40.540540540,>60,3,Job. about job. and ups job. I and has neutral and ups its has its neutral I and.
2022-07-05 11:04:30.270270270,<30,2,I job. could dissatisfied There could things am many job. There There with dissatisfied am dissatisfied things many.
2022-05-01 23:15:18.918918920,>60,2,Many many improved. with There my job. are job..
2022-04-16 07:13:52.432432432,>60,2,Job. There be I could be that my could job..
2022-08-28 00:33:09.189189188,41-50,2,Could improved. things There improved. am There are dissatisfied.
2022-02-27 22:24:51.891891892,<30,2,Many things am I that job. my improved. I that be are my my.
2022-05-17 06:32:04.324324324,31-40,3,Ups downs. ups and feel my about about I and ups ups downs. It has about I and downs. its.
2022-01-20 16:12:58.378378378,<30,2,With be are that could am are are things could with There am that dissatisfied dissatisfied be I that.
2022-06-13 23:08:06.486486486,41-50,2,Things I that improved. are many improved. my that could am improved. be.
2022-09-22 03:56:23.783783784,51-60,3,Neutral about feel I has downs. neutral It ups I job. has downs. job. its.
2022-12-02 13:54:35.675675676,<30,2,With I am dissatisfied with are There am improved. am my am am with.
2022-10-17 16:04:19.459459460,>60,2,Many my I are job. improved. could job. with improved. many am could things that many.
2022-03-21 10:21:15.675675676,<30,2,Improved. my many that with job. could be I.
2022-03-12 16:28:49.729729730,51-60,2,Many could that improved. things be many improved. improved. could things improved. improved. are many with that improved. are.
2022-05-09 14:53:41.621621622,51-60,1,Job. work unhappy stressful disorganized. and my job. with stressful unhappy and The am am environment and unhappy environment.
2022-02-23 13:28:38.918918919,>60,2,I could my many many that am are dissatisfied that dissatisfied that job. dissatisfied improved. could job. with.
2022-01-30 21:04:08.648648648,51-60,2,There dissatisfied things with There that There There be am be are job. could job. am There my am.
2022-09-08 07:38:22.702702704,31-40,3,About It neutral job. its neutral job. downs. It has has its and has about I I ups.
2022-07-02 04:22:20.540540542,<30,3,Has downs. I about neutral has I neutral about I about my feel has downs. It my It I and.
2022-12-12 01:16:23.783783784,41-50,2,I could my be I are could improved. am job. I I be many are be am There things are.
2022-11-05 06:03:14.594594596,<30,1,Work The is am unhappy and stressful disorganized. and job. am with my.
2022-03-29 01:59:38.378378379,>60,2,Many that am job. job. are improved. am job..
2022-05-15 19:33:20.000000000,>60,2,That improved. There am many improved. things am that dissatisfied many be many.
2022-02-21 17:45:13.513513513,51-60,2,Be I are I that that There There improved. could that job. job. There.
2022-01-10 11:21:48.108108108,>60,2,That with am many I I dissatisfied many with am many things be I improved. things many.
2022-11-05 14:47:55.675675676,41-50,2,With my things many dissatisfied my dissatisfied job. many am dissatisfied improved. improved..
2022-01-21 09:42:20.540540540,51-60,2,Dissatisfied am job. things job. things be am improved..
2022-03-21 10:21:15.675675676,31-40,2,Be many improved. many my job. improved. dissatisfied I.
2022-09-17 10:15:29.729729732,31-40,2,Am that dissatisfied be with that my improved. am be many.
2022-10-27 03:26:07.567567568,>60,2,Job. with There job. that are There dissatisfied with.
2022-07-26 05:31:31.891891892,<30,3,Feel ups I I has neutral It its I its has my about ups.
2022-11-28 04:58:22.702702704,41-50,2,There are my am There be There with are with that improved. many am improved. could could There are.
2022-06-18 16:49:00.540540540,<30,2,I There are are could many with with that my that could am things job. that.
2022-01-10 11:21:48.108108108,<30,2,Could many my There job. There job. There many improved. things am dissatisfied are that dissatisfied dissatisfied job. be.
2022-03-01 18:08:17.297297297,>60,2,Are There job. many There I am I I are could.
2022-05-12 04:06:29.189189190,>60,2,There am are There my things dissatisfied be be my things are improved. with things am.
2022-01-01 17:29:22.162162162,41-50,2,I things things be many am job. be are.
2022-06-23 10:29:54.594594596,51-60,2,Am dissatisfied my I are be am could I things my many that many improved. that.
2022-08-04 16:53:20.000000000,51-60,2,Dissatisfied my many dissatisfied There that I many dissatisfied many There I There improved. dissatisfied.
2022-01-17 18:15:29.729729729,<30,2,My am be I are with There dissatisfied I with could am my my dissatisfied I things dissatisfied.
2022-09-08 16:23:03.783783784,>60,2,Are things be job. dissatisfied my things There am are that be with.
2022-08-03 05:54:35.675675676,41-50,3,It my and I feel neutral its feel I feel.
2022-04-20 07:25:24.324324324,51-60,3,And I about neutral its my has neutral downs. job..
2022-04-05 17:38:01.081081081,41-50,2,Be things are my with my my many that be things many could with There things with my.
2022-08-07 23:35:29.729729732,<30,2,Could many I dissatisfied I things many job. are that many am There am I.
2022-01-22 03:11:42.702702702,<30,2,Am that improved. dissatisfied many dissatisfied improved. dissatisfied I job. with improved. There.
2022-05-09 06:09:00.540540540,<30,3,Job. feel my I job. downs. job. ups has neutral It neutral my has about job. about neutral.
2022-09-16 08:01:26.486486488,<30,2,Could dissatisfied with that I improved. many There dissatisfied I dissatisfied There improved. There be.
2022-02-10 19:24:41.081081081,51-60,2,My improved. my that dissatisfied I There I job. There dissatisfied am could could could my be am am.
2022-11-19 19:50:37.837837840,>60,2,My dissatisfied things many dissatisfied job. am things that are with with my I I things I be.
2022-11-16 21:53:09.189189192,41-50,3,My ups my about its about neutral feel downs. It It ups I.
2022-11-03 10:19:49.189189188,51-60,3,I has downs. about its and has feel feel neutral and ups neutral It downs. downs. feel.
2022-09-28 17:20:43.243243244,41-50,2,I are with I my am with that with with things improved. things dissatisfied could.
2022-06-13 05:38:44.324324324,>60,3,It feel It job. ups about downs. ups its neutral has.
2022-08-29 02:47:12.432432432,<30,3,Its I its its downs. job. feel my I and feel ups has downs..
2022-02-08 23:41:15.675675676,>60,2,Are There many improved. that things be I many my improved..
2022-01-18 20:29:32.972972973,>60,3,Feel downs. my I feel I about feel feel I and feel.
2022-05-09 23:38:22.702702704,41-50,2,Things I things with could improved. things my dissatisfied with could I improved. that are many.
2022-09-16 16:46:07.567567568,>60,3,And feel has downs. job. my downs. ups job. feel.
2022-02-27 04:55:29.729729730,51-60,3,About ups job. about its downs. job. downs. downs. feel and It ups.
2022-02-08 23:41:15.675675676,>60,2,There that improved. are my am many I are improved. There.
2022-10-27 20:55:29.729729732,31-40,2,Many with I could things There be are I with job. job. my.
2022-02-25 17:56:45.405405406,<30,2,Dissatisfied There be many with be job. are with There There things are job. am.
2022-01-30 03:34:46.486486486,51-60,2,Dissatisfied that with with am improved. improved. that that.
2022-10-27 12:10:48.648648648,>60,3,My I job. job. feel feel my job. downs..
2022-05-26 17:53:52.432432432,41-50,3,And I ups It its about and my about job. job. its neutral downs. my.
2022-07-07 15:32:36.756756758,51-60,3,It feel downs. has feel neutral about downs. ups.
2022-12-27 08:33:09.189189192,41-50,3,And ups job. its has its has and I has about.
2022-08-21 19:53:30.810810812,>60,3,Feel job. job. It ups ups my ups about.
2022-12-30 15:15:18.918918920,31-40,4,Most am things satisfied job. going job. with with going job..
2022-03-22 03:50:37.837837838,31-40,2,Are be that are dissatisfied be dissatisfied are dissatisfied could I dissatisfied my.
2022-06-28 12:55:29.729729730,31-40,3,About has neutral feel has feel neutral and about about and ups about and about.
2022-10-02 08:47:34.054054056,>60,3,Has feel job. its I its job. has neutral It my It has about about neutral downs. downs. job..
2022-05-24 22:10:27.027027028,41-50,3,My It job. job. my ups I downs. and ups feel has and my.
2022-11-21 15:34:03.243243244,>60,2,Job. be There that could dissatisfied be are improved. with could my with job. things be my improved. be with.
2022-06-13 14:23:25.405405406,41-50,2,Improved. that I There I dissatisfied I that job. I are am be I improved. dissatisfied I many many.
2022-02-05 16:59:05.945945946,>60,3,Ups downs. my I about I my downs. neutral I downs..
2022-09-27 06:21:58.918918920,41-50,2,Dissatisfied There many be dissatisfied There that There be could that job. am job. things with are improved. There.
2022-07-05 11:04:30.270270270,51-60,3,Downs. feel and my feel my has feel downs. neutral I its its neutral and and.
2022-07-03 15:21:04.864864866,>60,2,Are my are could are be things that that things I could things dissatisfied am dissatisfied job. could.
2022-01-18 11:44:51.891891892,31-40,3,My ups its ups its its It and has about ups downs. downs. its has It ups.
2022-05-31 11:34:46.486486486,41-50,2,Am could am are many my could could There could dissatisfied.
2022-01-06 19:54:57.297297297,41-50,2,My I things There things There am There job. There.
2022-09-11 14:20:32.432432432,>60,2,Be dissatisfied be am I things with many are are.
2022-09-02 20:28:06.486486488,<30,3,Job. about my has about neutral ups my feel neutral downs. ups.
2022-10-12 13:38:44.324324324,>60,2,Dissatisfied am many dissatisfied I are dissatisfied things could with that are improved. There dissatisfied improved. job. There.
2022-08-25 20:05:02.702702704,51-60,3,Feel my I ups downs. about ups ups I its about I.
2022-02-21 00:15:51.351351351,51-60,2,Are be could are job. things that could are could improved. There dissatisfied improved. am.
2022-03-19 05:53:09.189189189,31-40,3,About feel It I and ups and downs. It feel about feel and my has ups neutral.
2022-07-05 11:04:30.270270270,41-50,3,About It ups my job. its its its job. my has its about feel.
2022-05-18 08:46:07.567567568,>60,3,Has It feel job. has I feel job. It downs. its ups.
2022-06-05 22:45:02.702702704,51-60,2,With am There that are my could am be am job. many job. improved. many There my.
2022-12-09 12:03:36.216216216,31-40,3,It It its feel neutral downs. about feel It has downs. feel It and its downs. ups It about I has.
2022-01-16 07:16:45.405405405,41-50,2,Improved. are There my that job. with things things my dissatisfied I be am There.
2022-09-26 21:37:17.837837840,31-40,2,Am could my are be There things There am improved. could things.
2022-11-27 11:29:00.540540540,41-50,2,Improved. improved. things I be my improved. am dissatisfied improved..
2022-02-06 10:28:28.108108108,<30,3,Neutral has I neutral downs. downs. neutral It feel.
2022-05-15 19:33:20.000000000,41-50,2,Be improved. dissatisfied with many There things There improved. job. my my dissatisfied could I my am.
2022-07-04 00:05:45.945945946,<30,2,Dissatisfied are that with my There are am dissatisfied dissatisfied There with.
2022-07-20 18:21:15.675675676,51-60,3,Downs. about about It and downs. It has downs. its downs. It feel.
2022-06-22 08:15:51.351351352,51-60,2,Many are improved. many am improved. job. things job. be dissatisfied improved..
2022-03-11 14:14:46.486486487,41-50,2,That things be improved. that am with things that that improved. many be.
2022-03-03 22:36:23.783783784,41-50,3,I neutral and and neutral downs. ups ups ups job..
2022-03-30 21:43:03.783783784,41-50,2,Am that job. with are job. many job. with I dissatisfied I with many things.
2022-06-14 16:37:28.648648650,51-60,2,Are job. improved. improved. that dissatisfied be There am job. am.
2022-05-07 19:10:16.216216216,41-50,4,Satisfied are I Most are are job. are satisfied satisfied I with.
2022-07-06 13:18:33.513513514,51-60,2,Improved. dissatisfied be job. be be my improved. my could.
2022-08-10 04:03:36.216216216,31-40,2,Am could job. my improved. I dissatisfied am be with are job. There with could improved. are job. my.
2022-12-16 01:27:55.675675676,41-50,3,I has ups It about its has has downs. neutral and It downs. about job. has my ups feel.
2022-03-06 20:33:52.432432433,31-40,3,Neutral downs. and feel feel I its has about my neutral job. its neutral its It It downs..
2022-01-12 15:49:54.594594594,31-40,3,About its my neutral job. about has I I neutral It my its ups downs. job. I It.
2022-03-17 01:25:02.702702703,41-50,2,My things are be I are There dissatisfied I could are could many.
2022-02-10 10:40:00.000000000,31-40,3,Feel downs. and job. about downs. about ups job. ups feel job. about job. downs..
2022-01-05 00:11:31.891891891,31-40,3,My my has its feel feel job. I its job. job. feel I has neutral its It about I.
2022-01-19 22:43:36.216216216,51-60,2,Improved. are many am that be I that things improved. my There improved. I things with.
2022-10-01 15:18:11.891891892,31-40,3,About about downs. its its its downs. neutral has my my ups and has ups downs..
2022-10-19 20:32:25.945945948,<30,3,It feel its my about I my has its about job. feel its It and.
2022-10-02 08:47:34.054054056,>60,3,It my job. It and ups job. about about It.
2022-01-15 05:02:42.162162162,51-60,3,Its ups its about about ups its feel about.
2022-02-21 09:00:32.432432432,51-60,3,I has feel feel job. has I ups its my my its downs. its.
2022-03-12 07:44:08.648648649,31-40,2,Things with could There that improved. could improved. be many be job. with am things be things my I.
2022-11-19 19:50:37.837837840,31-40,3,Feel its its has and has about It I It and It I about.
2022-09-25 19:23:14.594594596,31-40,3,Feel neutral downs. feel about and my its about has ups downs. downs..
2022-02-08 14:56:34.594594594,31-40,2,That improved. be that my I job. job. my my improved. could could be could am could improved. am.
2022-11-11 01:58:11.891891892,41-50,3,It feel I about feel ups ups its has my job. ups its downs. feel about.
2022-07-12 09:13:30.810810812,>60,3,Job. neutral neutral its and It and my my has I downs. feel.
2022-07-22 05:20:00.000000000,>60,3,My its feel my neutral its has I about feel my It ups feel feel.
2022-04-06 11:07:23.243243243,41-50,2,Job. are with improved. could that improved. I many could dissatisfied my with my.
2022-01-17 09:30:48.648648648,<30,3,My downs. has and its It job. job. has I about about.
2022-07-19 16:07:12.432432432,<30,3,Downs. and has ups my job. feel job. ups feel.
2022-06-05 05:15:40.540540540,<30,3,Ups I neutral ups ups my and job. feel has has.
2022-11-21 15:34:03.243243244,>60,2,Dissatisfied things I that things am that be improved. be things that.
2022-06-13 14:23:25.405405406,<30,2,Job. There dissatisfied I There with could job. that There with with There am are that job. with.
2022-04-25 01:06:18.378378378,31-40,2,Improved. There could that am dissatisfied be my I could things could improved. am improved. job. are with.
2022-02-27 22:24:51.891891892,31-40,3,Ups and has about and its has its neutral has has ups.
2022-10-24 22:58:01.081081080,41-50,3,Neutral my downs. It ups feel I about has It It feel job. downs. It neutral about It.
2022-03-08 07:32:36.756756757,41-50,2,My am things be There my are many dissatisfied.
2022-10-22 18:29:54.594594596,<30,2,Things I could my be dissatisfied that job. with There that my I my I be be be.
2022-03-05 18:19:49.189189189,41-50,2,With with improved. my am many dissatisfied with could things with I are things am improved. There things dissatisfied.
2022-08-22 04:38:11.891891892,<30,2,Am am job. could I There things There job. things dissatisfied are that could job. with I could There.
2022-03-12 16:28:49.729729730,>60,3,About ups and It and downs. feel job. and It its its feel its its feel downs. and.
2022-11-12 04:12:15.135135136,<30,2,Dissatisfied dissatisfied I with improved. things my improved. job. improved. many could dissatisfied am job. could There with.
2022-12-18 23:25:24.324324324,31-40,2,That am I my job. that that that dissatisfied that with There.
2022-08-17 19:41:58.918918920,41-50,3,My its feel It my job. my I ups its neutral ups about ups and its feel It feel.
2022-06-12 20:54:03.243243244,<30,3,Has ups It It neutral I my neutral has my its feel It and.
2022-11-05 06:03:14.594594596,>60,2,I There improved. There am I with that many I improved. am that my with could There improved..
2022-12-20 10:24:08.648648648,41-50,2,That dissatisfied things that I things dissatisfied There I I that.
2022-08-07 06:06:07.567567568,>60,2,Job. be with with be my many job. that.
2022-01-29 01:20:43.243243243,>60,2,That I improved. many are improved. things There that could I many things I could am could could many.
2022-09-24 17:09:11.351351352,>60,2,Many many be that things be job. be I with could.
2022-06-08 20:42:31.351351352,41-50,2,Many are are job. that There dissatisfied be I be job. that are job. that many that dissatisfied.
2022-06-20 03:47:44.864864866,>60,2,My I improved. be are am I am am things be I.
2022-01-31 05:48:49.729729730,51-60,2,Could be things my improved. job. improved. There that could with are that that improved..
2022-05-07 01:40:54.054054054,51-60,3,It downs. feel It I ups feel has job. and ups.
2022-10-20 22:46:29.189189188,41-50,2,My There with I with dissatisfied could be There There There am that that that with dissatisfied my.
2022-11-28 04:58:22.702702704,51-60,2,There be many I things with job. could that many things dissatisfied improved. job. could be.
2022-02-17 08:49:00.540540540,51-60,2,Improved. things things many am am my things could my job. are could could improved. dissatisfied There that improved. that.
2022-08-11 06:17:39.459459460,41-50,2,Things There be could There that with There many improved. improved. There There could improved. be dissatisfied.
2022-07-17 02:54:24.864864866,<30,2,With my things job. many I that job. job. with dissatisfied improved. be that job..
2022-05-25 06:55:08.108108108,<30,3,Has has its downs. downs. has neutral I its has feel downs..
2022-01-03 04:28:06.486486486,41-50,2,Things There that things things be I many I that I that job. am with with are There.
2022-04-09 00:20:10.810810811,31-40,2,Job. job. with could I be dissatisfied I could.
2022-07-16 18:09:43.783783784,51-60,2,Am There that with I am things There dissatisfied.
2022-04-27 23:03:47.027027028,41-50,2,My improved. am my job. be could that things improved. There dissatisfied with.
2022-03-13 01:13:30.810810811,31-40,3,Job. I feel and my downs. downs. I has its has.
2022-02-06 01:43:47.027027027,>60,3,Neutral neutral It my its downs. about about and.
2022-05-17 15:16:45.405405406,<30,2,Things things could are dissatisfied could am I dissatisfied my improved. be many I dissatisfied that things are.
2022-10-22 18:29:54.594594596,<30,3,My feel its and feel ups my downs. its feel has.
2022-03-27 23:45:35.135135135,51-60,3,It feel and job. about I feel about has downs. has I I It and my.
2022-04-10 20:03:36.216216216,>60,1,Disorganized. and my The environment disorganized. very my with.
2022-03-27 15:00:54.054054054,<30,2,Be are am could with dissatisfied are with with.
2022-08-31 07:15:18.918918920,>60,3,My has and and and It job. about its.
2022-01-27 05:37:17.837837838,41-50,2,My that job. that that dissatisfied am many There things things with I are with.
2022-01-12 15:49:54.594594594,41-50,3,My job. its I downs. neutral It its feel its.
2022-11-20 13:20:00.000000000,<30,3,I has my its my its ups neutral has job. neutral its I.
2022-04-23 05:22:52.972972974,51-60,2,I job. things There I There my improved. job. There dissatisfied could be There many There things improved..
2022-12-22 23:36:56.216216216,51-60,2,Improved. am There job. dissatisfied with could many improved..
2022-12-17 21:11:21.081081080,<30,2,Are are job. dissatisfied improved. There am with are am many improved..
2022-10-03 19:46:18.378378380,31-40,1,With my is stressful disorganized. with work disorganized. stressful.
2022-08-17 02:12:36.756756756,51-60,2,Are are could are dissatisfied many with could are am are with with I There things improved. that things.
2022-01-05 08:56:12.972972973,>60,2,Am job. improved. things There could dissatisfied with my be things improved. could many my.
2022-03-29 01:59:38.378378379,>60,2,Could could be could my my There dissatisfied with with job. many be are dissatisfied I job..
2022-04-06 19:52:04.324324325,51-60,3,My It feel downs. neutral and about neutral job. its ups It job. feel I.
2022-03-24 08:18:44.324324325,<30,2,Improved. be that with improved. my job. with job. am many I things my my.
2022-07-21 03:05:56.756756758,41-50,2,Are job. my job. dissatisfied be many be could things I many am.
2022-06-15 18:51:31.891891892,31-40,2,I job. am There I job. improved. dissatisfied There could.
2022-10-14 00:37:28.648648648,31-40,3,Its about about job. has feel downs. my I has downs. I and and It neutral.
2022-05-14 17:19:16.756756758,31-40,3,Job. I It and feel job. and has downs. has It job. my has about neutral my downs..
2022-09-28 08:36:02.162162164,>60,3,Feel has feel feel It ups its about job. its job. feel I about its neutral about downs..
2022-05-30 09:20:43.243243244,<30,3,And my about its and It and ups neutral I its downs..
2022-01-27 14:21:58.918918919,51-60,3,Job. ups job. and I job. ups and and ups ups.
2022-11-09 06:14:46.486486488,>60,2,Am that could dissatisfied are be be be am are with with.
2022-05-12 21:35:51.351351352,31-40,2,Could with that many I dissatisfied dissatisfied I be I improved. with There could my.
2022-11-25 15:45:35.135135136,41-50,1,Is unhappy job. and work with The stressful The unhappy my very job. and unhappy I and stressful.
2022-01-02 02:14:03.243243243,>60,2,With dissatisfied things be I dissatisfied could am with that be am There that job. I dissatisfied I many.
2022-03-18 03:39:05.945945946,31-40,2,Am my things I improved. job. things There many dissatisfied be job. could could that I I am.
2022-12-13 03:30:27.027027028,31-40,2,My improved. could things could I things am many could things that There are could.
2022-03-07 22:47:55.675675676,>60,2,Things could I job. be improved. dissatisfied many many.
2022-10-07 19:57:50.270270272,<30,2,Dissatisfied job. could with dissatisfied that many be I improved. are are job. with could my things.
2022-12-20 01:39:27.567567568,31-40,3,Has It downs. my ups has neutral and neutral about ups It about about downs..
2022-09-28 08:36:02.162162164,<30,3,About has downs. my has has has and I and ups neutral neutral I my about feel downs. its I.
2022-04-13 00:31:42.702702703,41-50,2,Be with my many with many improved. I am There are job. that are There I my.
2022-08-26 04:49:43.783783784,41-50,2,Things that many things job. be There job. that are job. am things many with with.
2022-08-25 02:35:40.540540540,41-50,2,Are dissatisfied job. things many that many my job. my things that that are could are job. things improved. There.
2022-09-16 16:46:07.567567568,<30,2,There be things my many things that are There things are my job. my that.
2022-07-08 00:17:17.837837838,>60,2,I my are could could could I There improved..
2022-01-23 05:25:45.945945946,51-60,2,Be things job. There job. could There my my There.
2022-08-26 04:49:43.783783784,<30,2,Dissatisfied that job. I I I that am There many There are improved. could things be dissatisfied am improved. many.
2022-12-07 16:20:10.810810812,<30,2,I that could could be improved. job. be are I There that There There There many things job. There job. There.
2022-04-06 02:22:42.162162162,41-50,2,There dissatisfied are job. dissatisfied dissatisfied There are are There with am that many could.
2022-04-30 12:16:34.594594594,>60,2,Improved. that improved. are improved. am I There job. be could am I There job..
2022-02-07 03:57:50.270270270,51-60,2,Am could improved. that dissatisfied There dissatisfied be job. with things many improved. improved. improved. with dissatisfied are be.
2022-06-11 09:55:18.918918920,41-50,2,Job. things be could job. be am are my I improved. that.
